title,description,publishedAt,source
Kris Jenner Shouts Out Kardashians' Exes on Father’s Day - TMZ,"Kris Jenner gave a wide-ranging Father’s Day tribute Sunday ... and it included several of her famous family’s exes, current co-parents, and loved ones in a single star-packed collage.",2026-06-21T17:59:20Z,TMZ
Colombians vote in a presidential runoff that pits an outsider against a progressive - AP News,Colombia is holding a tight runoff election between a progressive and a conservative outsider. Business owner Abelardo de la Espriella and lawmaker Iván Cepeda are vying for the presidency in Sunday's vote. Both candidates aim to address the country's tenuous…,2026-06-21T17:26:00Z,Associated Press
Vance wants to ‘turn over a new leaf’ as US-Iran talks start in Switzerland - Al Jazeera,Both nations seek a durable end to their war as Iran slams Israeli attacks on Lebanon as violations of interim deal.,2026-06-21T16:48:40Z,Al Jazeera English
Gisele Bündchen Stuns in a Black Bikini With Joaquim Valente During Sweet Beach Moment With Baby Son - instyle.com,Gisele Bündchen stunned in a black bikini top with husband Joaquim Valente in rare photos with their baby son shared in honor of Father's Day on June 21.,2026-06-21T16:46:57Z,InStyle
Trump Vents Growing Frustrations With Reflecting-Pool Problems - WSJ,No Description Available,2026-06-21T16:30:00Z,The Wall Street Journal
Trump's Iran gamble divides GOP hawks and 'America First' conservatives over what victory looks like - Fox News,Trump's Iran memorandum of understanding divides GOP as hawks like Cassidy and Cruz clash with allies over whether the deal surrenders leverage.,2026-06-21T16:27:25Z,Fox News
Live updates: Trump threatens Iranian delegation while Vance holds talks with them - CNN,"High-stakes talks between the US and Iran, mediated by Pakistan and Qatar, are now underway in Switzerland. Follow live updates.",2026-06-21T16:20:00Z,CNN
"Pilot reports passenger bit a fellow flyer on plane approaching Philadelphia: ""He's trying to fight everybody"" - CBS News","An American Airlines passenger allegedly bit a fellow flyer and was ""trying to fight everybody"" on a Sunday flight, a pilot said.",2026-06-21T16:09:05Z,CBS News
Spain 3-0 Saudi Arabia Stats: World Cup Group H LIVE - Opta Analyst,The European champions bounced back with a devastating performance to get their first win of the 2026 World Cup. Analyse the game here with our Spain vs Saudi Arabia stats page.,2026-06-21T15:58:24Z,Theanalyst.com
"‘Toy Story 5’ Reaches For The Sky With $312M WW Opening, Second Best For Pixar – Global Box Office Update - Deadline","'Toy Story 5' Global Opening of $312M WW, 2nd Best Pixar",2026-06-21T15:58:00Z,Deadline
"When the Trump administration cracks down on Anthropic, who benefits? - TechCrunch","On the new episode of Equity, we discussed what actually prompted the administration's latest moves against Anthropic, and what this might mean for the AI ecosystem.",2026-06-21T15:28:17Z,TechCrunch
"Three Indian Tankers Reemerge, Pointing to Hormuz Traffic Uptick - Bloomberg","Millions of barrels of oil continued to flow through the Strait of Hormuz this weekend even after Iran claimed to have closed the waterway again, as Washington and Tehran offer contrasting narratives over the status of the world’s most important shipping chok…",2026-06-21T15:23:41Z,Bloomberg
Nasty upstate Republican primary tests power of Trump endorsement - Gothamist,First-time candidate Anthony Constantino has Trump’s support. Robert Smullen has the support of the state GOP.,2026-06-21T15:16:00Z,Gothamist
Trump says UK Prime Minister Keir Starmer to resign: 'Failed' - USA Today,President Donald Trump said that British Prime Minister Keir Starmer will step down in a Truth Social post.,2026-06-21T15:09:00Z,USA Today
How fast you should be able to walk a mile at every age — and what it can say about your longevity - New York Post,"It’s not just how far you walk, as pace can also reveal important information about health and longevity.",2026-06-21T14:54:00Z,New York Post
Apple to Release These 20 New Products Across Rest of 2026 and 2027 - MacRumors,"Apple's annual WWDC developers conference is in the rearview mirror, but there is still a lot to look forward to over the next year and beyond.  ...",2026-06-21T14:42:50Z,MacRumors
Beyond Siri: Here are the practical AI features coming to your iPhone in iOS 27 - TechCrunch,"Siri’s AI overhaul may have grabbed the headlines at WWDC, but some of Apple’s most useful AI features are arriving elsewhere in iOS 27.",2026-06-21T14:40:28Z,TechCrunch
Structural integrity now more of a concern for crews fighting multi-day Boyle Heights warehouse fire - KTLA,"Firefighters have been battling a fire at a cold storage facility in Boyle Heights for days, and as the flames are extinguished, the building’s structural integrity is becoming more and more of a concern. The Los Angeles Fire Department said Saturday night th…",2026-06-21T14:14:40Z,KTLA Los Angeles
The simple and frustrating reason there are very few fans at the US Open at Shinnecock Hills - Fox News,"Wyndham Clark built a six-shot lead at the U.S. Open, but sparse crowds at Shinnecock Hills on Saturday evening left the atmosphere flat and quiet.",2026-06-21T14:14:31Z,Fox News
Rent collections are down in New York — and no one's sure why - Politico,The issue has exposed thorny questions for the city’s affordable housing sector.,2026-06-21T14:00:00Z,Politico
